"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.691760585E0,-5.195887089E-1,4.793803692E-1,-2.372018814E0
1.696752721E0,-2.852973342E-1,4.395751953E-1,-2.435365677E0
1.701744856E0,-4.800613225E-2,4.215762615E-1,-2.584776878E0
1.706736992E0,2.421253622E-1,4.540364742E-1,-2.743531704E0
1.711729127E0,6.379819512E-1,4.458215237E-1,-2.634717941E0
1.716721262E0,1.090500593E0,4.729049206E-1,-2.206875324E0
1.721713398E0,1.490471959E0,4.102506638E-1,-1.848010540E0
1.726705533E0,1.799770474E0,7.239270210E-2,-1.864024639E0
1.731697669E0,1.840550661E0,-6.053674221E-1,-2.005947590E0
1.736689804E0,1.360482812E0,-1.321036816E0,-1.747920513E0
1.741681940E0,3.166103363E-1,-1.580956340E0,-9.848213196E-1
1.746674075E0,-1.153830767E0,-1.181114435E0,1.545610428E-1
1.751666210E0,-1.678516626E0,-2.432057858E-1,9.400901794E-1
1.756658346E0,-1.520826578E0,7.369606495E-1,1.301948547E0
1.761650481E0,-1.194561124E0,1.404567719E0,1.499292374E0
1.766642617E0,-9.419957399E-1,1.655034542E0,1.527340889E0
1.771634752E0,-5.716867447E-1,1.547124863E0,1.428580284E0
1.776626887E0,-4.155414104E-1,1.263624907E0,1.264759064E0
1.781619023E0,-4.718823433E-1,9.915051460E-1,9.643259048E-1
1.786611158E0,-7.454514503E-1,9.356937408E-1,7.336807251E-1
1.791603294E0,-1.203119755E0,1.024173260E0,3.440856934E-1
1.796595429E0,-1.541534066E0,1.080570459E0,-2.466840744E-1
1.801587565E0,-2.108020306E0,1.010553837E0,-2.165896893E0
1.806579700E0,-1.631463766E0,5.677969456E-1,-2.612971306E0
1.811571835E0,-9.918518066E-1,1.028275490E-2,-2.203623772E0
1.816563971E0,-4.553964138E-1,-3.896340132E-1,-2.316158295E0
1.821556106E0,-1.706662178E-1,-4.492293596E-1,-2.563018799E0
1.826548242E0,1.729943752E-1,-3.881081343E-1,-2.428521156E0
1.831540377E0,7.713154554E-1,-5.600587130E-1,-2.052206993E0
1.836532512E0,1.141144753E0,-6.595234871E-1,-1.697301388E0
1.841524596E0,1.187934875E0,-6.642575264E-1,-1.009969711E0
1.846516679E0,1.118645668E0,-3.858592510E-1,-3.007650375E-1
1.851508762E0,5.993270874E-1,3.419971466E-2,3.925590515E-1
1.856500846E0,4.849789143E-1,2.925150394E-1,1.189599037E0
1.861492929E0,1.035337448E-1,6.694409847E-1,1.932089806E0
1.866485012E0,2.514319420E-1,7.952017784E-1,2.667655945E0
1.871477096E0,2.900869846E-1,1.075076103E0,3.166603088E0
1.876469179E0,2.960276604E-1,1.254007101E0,3.678074837E0
1.881461262E0,8.418655396E-1,1.379045725E0,3.853396416E0
1.886453346E0,1.320689559E0,1.464071751E0,3.803785324E0
1.891445429E0,1.372025490E0,1.648527861E0,3.363330841E0
1.896437512E0,1.399631023E0,1.767512321E0,2.456656456E0
1.901429596E0,2.083043575E0,1.591990471E0,1.280138016E0
1.906421679E0,1.779552579E0,1.552196264E0,3.068075180E-1
1.911413762E0,1.083262563E0,1.687855959E0,-3.165874481E-1
1.916405846E0,-7.376148701E-1,2.122709274E0,-9.929189682E-1
1.921397929E0,-1.142941952E0,2.073647738E0,-1.478379726E0
1.926390012E0,-5.799720287E-1,1.777759790E0,-1.788176060E0
1.931382096E0,-1.062130928E-2,1.270017624E0,-1.798741817E0
1.936374179E0,8.616266251E-1,6.612000465E-1,-1.444033146E0
1.941366262E0,1.736583352E0,1.513831615E-1,-1.015659332E0
