"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.331793185E2,6.151104175E1,2.361150470E1,1.287440841E2,1.620000005E0,1.805000000E2,9.935046196E0,2.500000000E0
1.341795348E2,6.151102874E1,2.361150505E1,1.287506047E2,1.500000000E0,1.808000031E2,9.935046196E0,2.500000000E0
1.351798874E2,6.151101560E1,2.361150537E1,1.289352258E2,1.590000033E0,1.820000000E2,9.935046196E0,2.500000000E0
1.361800715E2,6.151100215E1,2.361150701E1,1.292948344E2,1.600000024E0,1.808000031E2,9.935046196E0,2.500000000E0
1.371794639E2,6.151098841E1,2.361150854E1,1.294488154E2,1.669999957E0,1.816999969E2,9.935046196E0,2.500000000E0
1.381792947E2,6.151097469E1,2.361150989E1,1.292458628E2,1.620000005E0,1.833999939E2,9.935046196E0,2.500000000E0
1.391795081E2,6.151096085E1,2.361150911E1,1.294518456E2,1.669999957E0,1.870000000E2,9.935046196E0,2.500000000E0
1.401796610E2,6.151094661E1,2.361150877E1,1.294762484E2,1.669999957E0,1.850000000E2,9.935046196E0,2.500000000E0
1.411801328E2,6.151093229E1,2.361151072E1,1.293339644E2,1.669999957E0,1.805000000E2,9.935046196E0,2.500000000E0
1.421795603E2,6.151091724E1,2.361151390E1,1.296155079E2,1.759999990E0,1.773999939E2,9.935046196E0,2.500000000E0
1.431792609E2,6.151090138E1,2.361152006E1,1.305638600E2,1.690000057E0,1.756999969E2,9.935046196E0,2.500000000E0
1.441793255E2,6.151088610E1,2.361152593E1,1.309691217E2,1.710000038E0,1.761000061E2,3.790092468E0,2.603343487E0
1.451792869E2,6.151086904E1,2.361153087E1,1.321860275E2,1.750000000E0,1.780000000E2,3.790092468E0,2.500000000E0
1.461799862E2,6.151085173E1,2.361153306E1,1.321299227E2,1.820000052E0,1.816999969E2,3.790092468E0,2.500000000E0
1.471794624E2,6.151083489E1,2.361153323E1,1.320694847E2,1.769999981E0,1.841000061E2,3.790092468E0,2.572468996E0
1.481797956E2,6.151081853E1,2.361153202E1,1.319552750E2,1.789999962E0,1.851000061E2,3.790092468E0,2.608660221E0
1.491794955E2,6.151080334E1,2.361153064E1,1.320244769E2,1.730000019E0,1.840000000E2,3.790092468E0,2.733258247E0
1.501800692E2,6.151078863E1,2.361153036E1,1.322538965E2,1.779999971E0,1.828000031E2,3.790092468E0,2.918110847E0
1.511796091E2,6.151077369E1,2.361153078E1,1.323506866E2,1.789999962E0,1.801999969E2,3.790092468E0,3.136266470E0
1.521798302E2,6.151075856E1,2.361153139E1,1.324107944E2,1.809999943E0,1.800000000E2,3.790092468E0,3.108808041E0
1.531794422E2,6.151074349E1,2.361153048E1,1.329045569E2,1.820000052E0,1.821999969E2,3.790092468E0,2.988388777E0
1.541799742E2,6.151072845E1,2.361152661E1,1.326906777E2,1.860000014E0,1.855000000E2,3.790092468E0,2.500000000E0
